Sample_Count,Accuracy,CPU_Percent,RAM_MB,Battery_Percent,Latency_ms
0,0.0,0.0,117.65625,100,1.3773441314697266
500,0.6367265469061876,0.0,121.26171875,100,0.7946491241455078
1000,0.6953046953046953,0.0,126.4140625,100,0.2989768981933594
1500,0.7514990006662225,0.0,129.25390625,100,1.2199878692626953
2000,0.7661169415292354,0.0,132.08984375,100,1.0614395141601562
2500,0.7844862055177929,0.0,134.41015625,100,0.21409988403320312
3000,0.8023992002665779,0.0,135.95703125,100,0.2827644348144531
3500,0.8129105969722936,0.0,138.27734375,100,0.38123130798339844
4000,0.8200449887528118,0.0,140.33984375,100,0.22125244140625
4500,0.8304821150855366,0.0,142.14453125,100,0.3094673156738281
5000,0.8390321935612878,0.0,144.20703125,100,0.2849102020263672
5500,0.8473004908198509,0.0,146.26953125,100,0.164031982421875
6000,0.8543576070654891,0.0,148.07421875,100,0.20194053649902344
6500,0.8614059375480695,0.0,149.36328125,100,0.3383159637451172
7000,0.8667333238108842,0.0,150.91015625,100,0.3833770751953125
7500,0.870817224370084,0.0,152.19921875,100,0.3960132598876953
8000,0.8757655293088364,0.0,153.48828125,100,0.17952919006347656
8500,0.8798964827667334,0.0,154.77734375,100,0.2040863037109375
9000,0.8833462948561271,0.0,156.32421875,100,0.3376007080078125
9500,0.8873802757604463,0.0,157.35546875,100,0.2911090850830078
10000,0.8904109589041096,0.0,158.38671875,100,0.3826618194580078
10500,0.8936291781735073,0.0,159.41796875,100,0.4489421844482422
11000,0.8961003545132261,0.0,160.44921875,100,3.027677536010742
11500,0.8983566646378576,0.0,161.48046875,100,0.46253204345703125
12000,0.9005916173652195,0.0,162.76953125,100,0.4336833953857422
12500,0.9020078393728501,0.0,164.31640625,100,0.20265579223632812
13000,0.9041612183678178,0.0,165.34765625,100,0.28634071350097656
13500,0.9051922079845938,0.0,166.63671875,100,0.225067138671875
14000,0.9077923005499607,0.0,167.41015625,100,0.23317337036132812
14500,0.9096614026618853,0.0,168.69921875,100,0.2644062042236328
15000,0.9113392440503967,0.0,169.47265625,100,0.15115737915039062
15500,0.9123282368879427,0.0,170.76171875,100,0.1857280731201172
16000,0.9133804137241422,0.0,171.79296875,100,0.3020763397216797
16500,0.9149142476213563,0.0,172.56640625,100,0.5114078521728516
17000,0.9160049408858303,0.0,173.59765625,100,0.2009868621826172
17500,0.9172047311582195,0.0,174.62890625,100,0.48995018005371094
18000,0.9178934503638687,0.0,175.66015625,100,0.34165382385253906
18500,0.9191935571050214,0.0,176.43359375,100,0.1926422119140625
19000,0.9205304983948214,0.0,176.94921875,100,0.20074844360351562
19500,0.921080970206656,0.0,177.98046875,100,4.122734069824219
20000,0.9221538923053847,0.0,179.01171875,100,0.5648136138916016
20500,0.9230769230769231,0.0,180.04296875,100,0.21338462829589844
21000,0.9241940859959049,0.0,180.55859375,100,0.2803802490234375
21500,0.9248872145481606,0.0,181.33203125,100,0.27942657470703125
22000,0.9255033862097177,0.0,182.10546875,100,0.23126602172851562
22500,0.9264032709657348,0.0,183.13671875,100,0.19097328186035156
23000,0.9268727446632755,0.0,184.16796875,100,0.6749629974365234
23500,0.9278328581762478,0.0,184.94140625,100,0.21147727966308594
24000,0.9286279738344235,0.0,185.71484375,100,0.2162456512451172
24500,0.9295130810987307,0.0,186.23046875,100,0.2646446228027344
25000,0.9301627934882605,0.0,187.26171875,100,0.23245811462402344
25500,0.9308654562566174,0.0,188.03515625,100,0.3132820129394531
26000,0.9313872543363717,0.0,189.06640625,100,0.1823902130126953
26500,0.9321912380664881,0.0,190.09375,100,0.33974647521972656
27000,0.9325210177400837,0.0,191.12890625,100,0.24461746215820312
27500,0.9330933420602887,0.0,191.64453125,100,0.49996376037597656
28000,0.9337880789971786,0.0,192.41796875,100,0.16069412231445312
28500,0.9344584400547349,0.0,193.19140625,100,0.3600120544433594
29000,0.934967759732423,0.0,193.9609375,100,0.25272369384765625
29500,0.9356293007016712,0.0,194.73828125,100,0.2028942108154297
30000,0.9361021299290023,0.0,195.25390625,100,0.3733634948730469
30500,0.9366906003081866,0.0,195.76953125,100,0.3654956817626953
31000,0.9372278313602787,0.0,196.28515625,100,0.23937225341796875
31500,0.937748007999746,0.0,196.80078125,100,0.21505355834960938
32000,0.9383144276741352,0.0,197.57421875,100,0.30612945556640625
32500,0.9387711147349312,0.0,198.08984375,100,0.2696514129638672
33000,0.9394563801096937,0.0,198.60546875,100,0.44798851013183594
